地浸砂岩型钻孔分层地质特征表,,,,,,,,,,,,,,,,,,,
工作区编号(必填),钻孔编号(必填),分层号(必填),换层深度(m),岩石分层厚度(m),地层代号,年代地层单位名称(有提示信息DSA),岩石地层单位名称(有提示信息DSB),花纹代号,粒度(有提示信息YAN),岩石名称(有提示信息YSEB),岩性描述,地质描述,碳酸岩含量,岩石固结程度,其他（岩石成分）,轴心夹角度(岩层倾角),备注,数据入库日期(年.月.日),,
1,2,3,4,,
MDBTAD,GCJCBN,MDLOA,HCSD,TKACCM,DCDH,DSF,DSBF,YSHFA,YXLD,YSEB,PKICGA,DZMS,FCTSY,FCGJCD,YSQT,GCJLIJ,MDLZZ,GGDDIW,,
220620,P2800,1,26.7,26.7,Q,,第四系,,砾,第四系,第四系,第四系,I,,,,,,
220620,P2800,2,37,10.3,N,,新近系,,粉砂,粉砂岩,粉砂岩,粉砂岩,I,,,,,,
220620,P2800,3,47.05,10.05,N,,新近系,,粉砂,泥质粉砂岩,泥质粉砂岩,泥质粉砂岩,I,,,,,,
220620,P2800,4,52.15,5.1,N,,新近系,,粉砂,粉砂岩,粉砂岩,粉砂岩,I,,,,,,
220620,P2800,5,55.85,3.7,N,,新近系,,粉砂,泥质粉砂岩,泥质粉砂岩,泥质粉砂岩,I,,,,,,
220620,P2800,6,57.35,1.5,N,,新近系,,细砂,细砂岩,细砂岩,细砂岩,I,,,,,,
220620,P2800,7,62.15,4.8,N,,新近系,,粉砂,泥质粉砂岩,泥质粉砂岩,泥质粉砂岩,I,,,,,,
220620,P2800,8,63.65,1.5,N,,新近系,,粉砂,粉砂岩,粉砂岩,粉砂岩,I,,,,,,
220620,P2800,9,64.4,0.75,N,,新近系,,细砂,细砂岩,细砂岩,细砂岩,I,,,,,,
220620,P2800,10,67.3,2.9,N,,新近系,,粉砂,粉砂岩,粉砂岩,粉砂岩,I,,,,,,
220620,P2800,11,68.5,1.2,N,,新近系,,细砂,细砂岩,细砂岩,细砂岩,I,,,,,,
220620,P2800,12,70.6,2.1,N,,新近系,,粉砂,粉砂岩,粉砂岩,粉砂岩,I,,,,,,
220620,P2800,13,73.7,3.1,N,,新近系,,细砂,细砂岩,细砂岩,细砂岩,I,,,,,,
220620,P2800,14,86.9,13.2,N,,新近系,,中砂,中砂岩,中砂岩,中砂岩,I,,,,,,
220620,P2800,15,92.1,5.2,N,,新近系,,泥,泥岩,泥岩,泥岩,I,,,,,,
220620,P2800,16,98.95,6.85,N,,新近系,,粗砂,粗砂岩,粗砂岩,粗砂岩,I,,,,,,
220620,P2800,17,102.5,3.55,J2t,,上侏罗统头屯河组,,粉砂,粉砂岩,粉砂岩,粉砂岩,I,,,,,,
220620,P2800,18,103.5,1,J2t,,上侏罗统头屯河组,,细砂,细砂岩,细砂岩,细砂岩,I,,,,,,
220620,P2800,19,105.8,2.3,J2t,,上侏罗统头屯河组,,粉砂,泥质粉砂岩,泥质粉砂岩,泥质粉砂岩,I,,,,,,
220620,P2800,20,106.5,0.7,J2t,,上侏罗统头屯河组,,细砂,细砂岩,细砂岩,细砂岩,I,,,,,,
220620,P2800,21,108.5,2,J2t,,上侏罗统头屯河组,,粉砂,粉砂岩,粉砂岩,粉砂岩,I,,,,,,
220620,P2800,22,109.85,1.35,J2t,,上侏罗统头屯河组,,细砂,细砂岩,细砂岩,细砂岩,I,,,,,,
220620,P2800,23,117.8,7.95,J2t,,上侏罗统头屯河组,,粗砂,粗砂岩,粗砂岩,粗砂岩,I,,,,,,
220620,P2800,24,118.9,1.1,J2t,,上侏罗统头屯河组,,泥,泥岩,泥岩,泥岩,I,,,,,,
220620,P2800,25,134.5,15.6,J2t,,上侏罗统头屯河组,,粗砂,粗砂岩,粗砂岩,粗砂岩,I,,,,,,
220620,P2800,26,144.35,9.85,J2x3,,中侏罗统西山窑组上段,,泥,泥岩,泥岩,泥岩,I,,,,,,
220620,P2800,27,145.05,0.7,J2x3,,中侏罗统西山窑组上段,,细砂,细砂岩,细砂岩,细砂岩,I,,,,,,
220620,P2800,28,153.85,8.8,J2x3,,中侏罗统西山窑组上段,,泥,泥岩,泥岩,泥岩,I,,,,,,
220620,P2800,29,156.9,3.05,J2x3,,中侏罗统西山窑组上段,,粗砂,粗砂岩,153.8-154米浅黄色，余为灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,153.8-154米浅黄色，余为灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,30,157.2,0.3,J2x3,,中侏罗统西山窑组上段,,泥,含炭泥岩,黑色炭质泥岩,黑色炭质泥岩,I,,,,,,
220620,P2800,31,157.7,0.5,J2x3,,中侏罗统西山窑组上段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,32,158.3,0.6,J2x3,,中侏罗统西山窑组上段,,粉砂,粉砂岩,灰色粉砂岩,灰色粉砂岩,I,,,,,,
220620,P2800,33,159.4,1.1,J2x3,,中侏罗统西山窑组上段,,中砂,中砂岩,灰色中砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色中砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,34,160.8,1.2,J2x3,,中侏罗统西山窑组上段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,35,161.4,0.6,J2x3,,中侏罗统西山窑组上段,,粉砂,粉砂岩,灰色粉砂岩,灰色粉砂岩,I,,,,,,
220620,P2800,36,162.1,0.7,J2x3,,中侏罗统西山窑组上段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,37,162.85,0.75,J2x3,,中侏罗统西山窑组上段,,粉砂,粉砂岩,灰色粉砂岩,灰色粉砂岩,I,,,,,,
220620,P2800,38,164.5,1.65,J2x3,,中侏罗统西山窑组上段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,39,165.3,0.8,J2x3,,中侏罗统西山窑组上段,,中砂,中砂岩,灰色中砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色中砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,40,166.1,0.8,J2x3,,中侏罗统西山窑组上段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,41,167.1,1,J2x3,,中侏罗统西山窑组上段,,粉砂,粉砂岩,灰色粉砂岩,灰色粉砂岩,I,,,,,,
220620,P2800,42,167.7,0.6,J2x3,,中侏罗统西山窑组上段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,43,167.95,0.25,J2x3,,中侏罗统西山窑组上段,,中砂,中砂岩,灰色中砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色中砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,44,168.4,0.45,J2x3,,中侏罗统西山窑组上段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,45,169.4,1,J2x3,,中侏罗统西山窑组上段,,细砂,细砂岩,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,46,170.4,1,J2x3,,中侏罗统西山窑组上段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,47,173.45,3.05,J2x3,,中侏罗统西山窑组上段,,中砂,中砂岩,灰色中砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色中砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,48,176.2,2.75,J2x3,,中侏罗统西山窑组上段,,粗砂,粗砂岩,灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,49,177.3,1.1,J2x3,,中侏罗统西山窑组上段,,粗砂,含砾粗砂岩,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,50,177.9,0.6,J2x3,,中侏罗统西山窑组上段,,粗砂,粗砂岩,灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,51,180.4,2.5,J2x3,,中侏罗统西山窑组上段,,粗砂,含砾粗砂岩,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,52,180.95,0.55,J2x3,,中侏罗统西山窑组上段,,泥,含炭泥岩,黑色炭质泥岩,黑色炭质泥岩,I,,,,,,
